Code,Sample,UniFrac,Rao_beta,Sequence_HMAb,LabChip_HMAb,HMAa_all,HMAa_1,HMAa_2,num_OTU1,num_OTU2,sum_num_OTU,diff_num_OTU,shared_OTU,Seq_HMAa_all
Beta1,B1-B2,0.7509966,0.2827897,0.04318332,2.899986,4.302023,3.103253,2.600807,35,26,61,9,8,0.18285052
Beta2,B1-B5,0.6733945,0.2685557,0.02828131,3.155718,4.394897,3.103253,2.530823,35,52,87,17,17,0.1910745
Beta3,B2-B5,0.2039157,0.1803883,0.000494355,2.16863,3.65013,2.600807,2.530823,26,52,78,26,24,0.1334841
Beta4,S1-S2,0.5280873,0.236301,0.01714586,2.303661,4.102455,2.873996,3.027253,13,39,52,26,8,0.18898256
Beta5,S2-S4,0.3212217,0.194716,-0.002797677,#VALUE!,NA,3.027253,2.931288,39,12,51,27,11,#VALUE!
Beta6,W1-W3,0.2215315,0.2176901,0.004633053,1.954178,3.786052,3.035636,2.58229,28,35,63,7,23,0.17454744
Beta7,W5-W6,0.1432235,0.2175269,0.01786523,3.386203,4.647058,2.770352,3.137561,23,29,52,6,16,0.19017594
Beta8,B1-S1,0.7154802,0.263667,0.0171841,0.987339,3.482294,3.103253,2.873996,35,13,48,22,6,0.2060198
Beta9,B2-S2,0.8988406,0.3401214,0.0920791,-0.56361,2.532225,2.600807,3.027253,26,39,65,13,3,0.19028028
Beta10,B4-S4,0.863569,0.3044337,0.0624442,0.287572,2.834668,2.450476,2.931288,63,12,75,51,4,0.2081516
Beta11,B5-S1,0.8102062,0.2812968,0.03063733,0.759239,3.082029,2.530823,2.873996,52,13,65,39,7,0.1847245
Beta12,B1-S4,0.8645055,0.3065062,0.05983446,0.758145,3.396343,3.103253,2.931288,35,12,47,23,2,0.204491
Beta13,B2-S4,0.9217398,0.3543141,0.1067195,0.462617,2.997356,2.600807,2.931288,26,12,38,14,1,0.1842366
Beta14,S1-W3,0.6178807,0.2641378,0.03105052,1.358044,3.407165,2.873996,2.58229,13,35,48,22,5,0.19294118
Beta15,B1-W1,0.759148,0.2684753,0.02362782,-0.198447,2.970221,3.103253,3.035636,35,28,63,7,6,0.2040566
Beta16,B2-W3,0.8802115,0.3356038,0.08955088,-0.027927,2.577585,2.600807,2.58229,26,35,61,9,2,0.18602246
Beta17,B5-W5,0.8483743,0.2884361,0.03049533,1.604909,3.453042,2.530823,2.770352,52,23,75,29,8,0.18295794
Beta18,B4-W6,0.7319355,0.2812995,0.04468014,5.175287,5.381662,2.450476,3.137561,63,29,92,34,10,0.2151628
Beta19,S2-B3,0.8989114,0.3103502,0.06605286,0.673765,3.330627,3.027253,2.960236,39,41,80,2,8,0.18800058
Beta20,S1-B6,0.91204,0.3212175,0.07300485,1.982414,3.70493,2.873996,2.55345,13,15,28,2,0,0.19229376
Beta21,W4-B3,0.7491473,0.2706849,0.03786646,1.603586,3.766409,2.968996,2.960236,15,41,56,26,7,0.1761186
